"","Country","Continent","pos_at_max_dist","cleantime","speed"
"157","Romania","Europe",92.8318584070796,11.3,8.84955752212389
"158","Russia","Asia",97.4001857010214,10.77,9.28505106778087
"159","Sao Tome and Principe","Africa",91.5357766143106,11.46,8.7260034904014
"160","Saint Kitts and Nevis","North America",93.8282647584973,11.18,8.94454382826476
"161","Saint Lucia","North America",91.6958041958042,11.44,8.74125874125874
"162","Saint Vincent and the Grenadines","North America",94.5897204688909,11.09,9.01713255184851
"164","Samoa","Oceania",85.9131859131859,12.21,8.19000819000819
"165","San Marino","Europe",87.2712146422629,12.02,8.31946755407654
"166","Senegal","Africa",93.3274021352313,11.24,8.89679715302491
"167","Serbia","Europe",92.5044091710758,11.34,8.81834215167549
"168","Seychelles","Africa",87.85594639866,11.94,8.37520938023451
"169","Sierra Leone","Africa",89.9656946826758,11.66,8.57632933104631
"170","Singapore","Asia",88.8983050847458,11.8,8.47457627118644
"171","Slovakia","Europe",92.9140832595217,11.29,8.85739592559787
"172","Slovenia","Europe",97.6722532588454,10.74,9.31098696461825
"173","Solomon Islands","Oceania",82.9905063291139,12.64,7.91139240506329
"175","Somalia","Africa",79.2894935752079,13.23,7.55857898715042
"176","South Africa","Africa",94.8462929475588,11.06,9.04159132007233
"178","South Korea","Asia",91.2967798085292,11.49,8.70322019147084
"180","Spain","Europe",94.8462929475588,11.06,9.04159132007233
"181","Sri Lanka","Asia",95.018115942029,11.04,9.05797101449275
"182","Sudan","Africa",84.6650524616626,12.39,8.07102502017756
"184","Suriname","South America",90.4310344827586,11.6,8.62068965517241
"185","Swaziland","Africa",92.4229074889868,11.35,8.81057268722467
"186","Sweden","Europe",93.9964157706093,11.16,8.96057347670251
"187","Switzerland","Europe",94.7606142728094,11.07,9.03342366757001
"188","Syria","Asia",87.929589270746,11.93,8.38222967309304
"189","Tajikistan","Asia",87.85594639866,11.94,8.37520938023451
"190","Tanzania","Africa",90.1977644024076,11.63,8.59845227858985
"191","Thailand","Asia",92.586054721977,11.33,8.8261253309797
"192","Togo","Africa",87.3438800999167,12.01,8.32639467110741
"193","Tonga","Oceania",86.0541427399508,12.19,8.20344544708778
"195","Trinidad and Tobago","North America",96.7712177121771,10.84,9.22509225092251
"198","Tunisia","Africa",89.8116438356164,11.68,8.56164383561644
"199","Turkey","Asia",93.2444444444445,11.25,8.88888888888889
"200","Turkmenistan","Asia",90.7439446366782,11.56,8.65051903114187
"201","Turks and Caicos Islands","North America",84.8019401778496,12.37,8.08407437348424
"202","Tuvalu","Oceania",77.8189910979228,13.48,7.41839762611276
"203","Uganda","Africa",90.1202749140894,11.64,8.59106529209622
"204","Ukraine","Europe",96.9500924214418,10.82,9.24214417744917
"205","United Arab Emirates","Asia",79.3494704992436,13.22,7.5642965204236
"206","United Kingdom","Europe",95.4504094631483,10.99,9.09918107370337
"207","United States","North America",100,10.49,9.53288846520496
"208","United States Virgin Islands","North America",94.7606142728094,11.07,9.03342366757001
"209","Uruguay","South America",90.9012131715771,11.54,8.66551126516465
"210","Uzbekistan","Asia",95.018115942029,11.04,9.05797101449275
"211","Vanuatu","Oceania",85.2845528455285,12.3,8.13008130081301
"213","Vanuatu","Oceania",83.3863275039746,12.58,7.94912559618442
"214","Venezuela","South America",92.9140832595217,11.29,8.85739592559787
"215","Vietnam","Asia",92.5044091710758,11.34,8.81834215167549
"216","Yemen","Asia",78.5767790262172,13.35,7.49063670411985
"217","Zimbabwe","Africa",92.3415492957747,11.36,8.80281690140845
